evento_id,evento,evento_exemplo,tipo_evento,local,n_artigos,n_classificados,score_medio,media_sentimento,muito_negativo,negativo,neutro,positivo,muito_positivo,n/a,n_positivas,n_negativas,share_positivo,share_negativo,proporcao_positivas,proporcao_negativas,ambiguidade_baixa,ambiguidade_media,ambiguidade_alta,proporcao_ambiguidade_alta,peso_positivo,peso_negativo,titulos_exemplo
reducao-indices-criminalidade-duque-de-caxias-2025,reducao-indices-criminalidade-duque-de-caxias-2025,Redução de índices de criminalidade em Duque de Caxias em 2025,resultado/indicador,Duque de Caxias,2,2,1.0,1.0,0,0,0,2,0,0,2,0,1.0,0.0,1.0,0.0,2,0,0,0.0,2,0,"Duque de Caxias reduz índices de criminalidade nas principais categorias, aponta balanço | Duque de Caxias reduz índices de criminalidade nas principais categorias, aponta balanço"
reforco-seguranca-eleicoes-rio-2023,reforco-seguranca-eleicoes-rio-2023,Reforço de segurança nas eleições do Rio de Janeiro com 25 mil agentes,operacao policial,Rio de Janeiro,2,2,1.0,1.0,0,0,0,2,0,0,2,0,1.0,0.0,1.0,0.0,2,0,0,0.0,2,0,Cerca de 25 mil agentes estaduais vão reforçar segurança nas eleições do Rio | Cerca de 25 mil agentes vão reforçar eleições do Rio de Janeiro
show-lady-gaga-copacabana-2025,show-lady-gaga-copacabana-2025,Show da Lady Gaga em Copacabana com esquema especial de segurança,evento publico/cultural,"Copacabana, Rio de Janeiro",2,1,1.0,1.0,0,0,0,1,0,1,1,0,0.5,0.0,0.5,0.0,1,0,1,0.5,1,0,"Tudo que você precisa saber sobre o show da Lady Gaga | Show de Lady Gaga: Copacabana recebe esquema especial com policiamento, saúde e transporte"
transferencia-seguranca-presente-policia-militar-2026,transferencia-seguranca-presente-policia-militar-2026,Transferência do programa Segurança Presente para a Polícia Militar,gestao/administracao,Rio de Janeiro,2,2,1.0,1.0,0,0,0,2,0,0,2,0,1.0,0.0,1.0,0.0,2,0,0,0.0,2,0,"Victor dos Santos, secretário nomeado por Castro, diz que o Segurança Presente agora ‘está nas mãos de quem deveria estar’ | Segurança Presente “está nas mãos de quem deveria estar”, diz Victor dos Santos, nomeado por Claudio Castro"
abertura-inscricoes-concurso-seguranca-presente-rj-2025,abertura-inscricoes-concurso-seguranca-presente-rj-2025,Abertura de inscrições para concurso do Segurança Presente RJ,gestao/administracao,Rio de Janeiro,2,1,0.0,0.0,0,0,1,0,0,1,0,0,0.0,0.0,0.0,0.0,2,0,0,0.0,0,0,Concurso Segurança Presente RJ: veja divisão de vagas pelo estado - Folha Dirigida | Concurso Segurança Presente RJ: veja o que faz o agente civil - Folha Dirigida
transferencia-do-seguranca-presente-e-barricada-zero-para-a-policia-militar,transferencia-do-seguranca-presente-e-barricada-zero-para-a-policia-militar,Transferência do Segurança Presente e Barricada Zero para a Polícia Militar,gestao/administracao,Rio de Janeiro,2,2,0.0,0.0,0,0,2,0,0,0,0,0,0.0,0.0,0.0,0.0,2,0,0,0.0,0,0,Ricardo Couto transfere Segurança Presente e Barricada Zero para a Polícia Militar | Ricardo Couto transfere Segurança Presente e Barricada Zero para a Polícia Militar
transferencia-seguranca-presente-para-policia-militar,transferencia-seguranca-presente-para-policia-militar,Transferência do Segurança Presente para a Polícia Militar,gestao/administracao,Rio de Janeiro,2,2,-0.5,-0.5,0,1,1,0,0,0,0,1,0.0,0.5,0.0,0.5,2,0,0,0.0,0,1,Couto transfere Segurança Presente e Barricada Zero para a PM | Ricardo Couto enxuga Segov e GSI transferindo Segurança Presente e Barricada Zero para a PM
analise-critica-gestao-claudio-castro-2023,analise-critica-gestao-claudio-castro-2023,Análise crítica da gestão de Cláudio Castro no Rio de Janeiro,gestao/administracao,Rio de Janeiro,2,2,-1.0,-1.0,0,2,0,0,0,0,0,2,0.0,1.0,0.0,1.0,2,0,0,0.0,0,2,Quintino: Governo Claudio Castro – Eu Vejo o Futuro Repetir o Passado | Quintino: Cláudio Castro precisa mostrar ao que veio
expansao-seguranca-presente-indicacoes-politicas-2026,expansao-seguranca-presente-indicacoes-politicas-2026,Expansão do programa Segurança Presente associada a indicações políticas,gestao/administracao,Rio de Janeiro,2,2,-1.0,-1.0,0,2,0,0,0,0,0,2,0.0,1.0,0.0,1.0,2,0,0,0.0,0,2,Documentos internos apontam que expansão do programa Segurança Presente ocorria por indicação de políticos | Relatório do governo mostra que expansão do Segurança Presente foi guiada por indicação de deputados do PL - CBN
mudanca-coordenacao-seguranca-presente-2026,mudanca-coordenacao-seguranca-presente-2026,Mudança na coordenação do Segurança Presente,gestao/administracao,Rio de Janeiro,2,2,-1.0,-1.0,0,2,0,0,0,0,0,2,0.0,1.0,0.0,1.0,2,0,0,0.0,0,2,Eduardo Paes capitaliza medidas de Ricardo Couto enquanto Cláudio Castro critica | Eduardo Paes capitaliza medidas de Ricardo Couto enquanto Cláudio Castro critica
detencao-mulher-lanchonete-campos-dos-goytacazes-2025,detencao-mulher-lanchonete-campos-dos-goytacazes-2025,Detenção de mulher por não pagar conta em lanchonete em Campos dos Goytacazes,violencia/crime,Campos dos Goytacazes,2,0,,,0,0,0,0,0,2,0,0,0.0,0.0,0.0,0.0,2,0,0,0.0,0,0,Mulher é detida no RJ após comer 4 salgados em lanchonete e se recusar a pagar: ‘Estavam ruins’ | Mulher é detida no RJ após comer 4 salgados em lanchonete e se recusar a pagar: ‘Estavam ruins’
mudancas-secretaria-fazenda-rio-2026,mudancas-secretaria-fazenda-rio-2026,Mudanças na Secretaria de Fazenda do Rio de Janeiro,gestao/administracao,Rio de Janeiro,2,0,,,0,0,0,0,0,2,0,0,0.0,0.0,0.0,0.0,0,0,2,1.0,0,0,"Novo secretário de Fazenda do Rio, Guilherme Mercês mira sonegadores e promete reduzir gastos no Governo do Rio | Novo secretário de Fazenda do Rio, Guilherme Mercês mira sonegadores e promete reduzir gastos no Governo do Rio"
comemoracao-um-ano-seguranca-presente-nilopolis-2024,comemoracao-um-ano-seguranca-presente-nilopolis-2024,Comemoração de um ano do Segurança Presente em Nilópolis,resultado/indicador,Nilópolis,1,1,2.0,2.0,0,0,0,0,1,0,1,0,1.0,0.0,1.0,0.0,1,0,0,0.0,2,0,Segurança Presente completa um ano em Nilópolis com excelentes resultados - Prefeitura Municipal de Nilópolis
resultados-operacao-seguranca-presente-volta-redonda-2025,resultados-operacao-seguranca-presente-volta-redonda-2025,Resultados da Operação Segurança Presente em Volta Redonda no segundo semestre de 2025,resultado/indicador,"Volta Redonda, RJ",1,1,2.0,2.0,0,0,0,0,1,0,1,0,1.0,0.0,1.0,0.0,1,0,0,0.0,2,0,Segurança Presente de Volta Redonda zera crimes em áreas de atuação e alcança o 1º lugar no estado - Prefeitura de Volta Redonda
abertura-concurso-agentes-civis-seguranca-presente-volta-redonda-2025,abertura-concurso-agentes-civis-seguranca-presente-volta-redonda-2025,Abertura de concurso para agentes civis do Segurança Presente em Volta Redonda,inauguracao/expansao,"Volta Redonda, RJ",1,1,1.0,1.0,0,0,0,1,0,0,1,0,1.0,0.0,1.0,0.0,1,0,0,0.0,1,0,Concurso Segurança Presente: Volta Redonda terá vagas para agentes civis com salário de mais de R$ 3 mil - Prefeitura de Volta Redonda
abertura-edital-selecao-extensionistas-mediacao-social-cidadania-uerj-2023,abertura-edital-selecao-extensionistas-mediação-social-cidadania-uerj-2023,Abertura de edital para seleção de extensionistas em Mediação Social e Cidadania pela UERJ,gestao/administracao,Rio de Janeiro,1,1,1.0,1.0,0,0,0,1,0,0,1,0,1.0,0.0,1.0,0.0,1,0,0,0.0,1,0,Segurança presente Archives - UERJ - Universidade do Estado do Rio de Janeiro - uerj.br
abertura-edital-vagas-seguranca-presente-rj-2025,abertura-edital-vagas-seguranca-presente-rj-2025,Abertura de edital para 2.212 vagas no Segurança Presente RJ,inauguracao/expansao,Rio de Janeiro,1,1,1.0,1.0,0,0,0,1,0,0,1,0,1.0,0.0,1.0,0.0,1,0,0,0.0,1,0,Segurança Presente RJ: saiu edital para 2.212 vagas. Níveis médio e superior! - Degrau Cultural
abertura-inscricoes-voluntarios-seguranca-presente,abertura-inscricoes-voluntarios-seguranca-presente,Abertura de inscrições para voluntários do Segurança Presente,inauguracao/expansao,Rio de Janeiro,1,1,1.0,1.0,0,0,0,1,0,0,1,0,1.0,0.0,1.0,0.0,1,0,0,0.0,1,0,"INSCRIÇÕES ABERTAS PARA VOLUNTÁRIOS DO ""SEGURANÇA PRESENTE"" - Governo do Estado do Rio de Janeiro"
abertura-oficial-carnaval-2025,abertura-oficial-carnaval-2025,"Abertura oficial do carnaval com mobilização de 3,3 mil PMs no Rio",operacao policial,Rio de Janeiro,1,1,1.0,1.0,0,0,0,1,0,0,1,0,1.0,0.0,1.0,0.0,1,0,0,0.0,1,0,"Abertura oficial do carnaval mobiliza 3,3 mil PMs no Rio"
abertura-pregao-bicicletas-eletricas-seguranca-presente-2025,abertura-pregao-bicicletas-eletricas-seguranca-presente-2025,Abertura de pregão para compra de bicicletas elétricas para agentes do Segurança Presente,gestao/administracao,Rio de Janeiro,1,1,1.0,1.0,0,0,0,1,0,0,1,0,1.0,0.0,1.0,0.0,1,0,0,0.0,1,0,Estado abre pregão para compra de 400 bicicletas elétricas para agentes do Segurança Presente
abertura-selecao-1213-vagas-operacao-seguranca-presente-2025,abertura-selecao-1213-vagas-operacao-seguranca-presente-2025,Abertura de seleção para 1.213 vagas na Operação Segurança Presente,gestao/administracao,Rio de Janeiro,1,1,1.0,1.0,0,0,0,1,0,0,1,0,1.0,0.0,1.0,0.0,1,0,0,0.0,1,0,Governo do Rio abre seleção com 1.213 vagas para agentes civis da Operação Segurança Presente
abertura-vagas-agentes-seguranca-presente-2025,abertura-vagas-agentes-seguranca-presente-2025,Abertura de 1.213 vagas para agentes da Operação Segurança Presente,inauguracao/expansao,Rio de Janeiro,1,1,1.0,1.0,0,0,0,1,0,0,1,0,1.0,0.0,1.0,0.0,1,0,0,0.0,1,0,Governo do Estado abre 1.213 vagas para agentes da Operação Segurança Presente
acao-esquadrao-antibomba-seguranca-cupula-brics-2025,acao-esquadrao-antibomba-seguranca-cupula-brics-2025,Ação do Esquadrão Antibomba para segurança da Cúpula do BRICS,operacao policial,"Museu de Arte Moderna (MAM), Aterro do Flamengo, Rio de Janeiro",1,1,1.0,1.0,0,0,0,1,0,0,1,0,1.0,0.0,1.0,0.0,1,0,0,0.0,1,0,Esquadrão Antibomba realiza ação para segurança da Cúpula do Brics
acao-integrada-seguranca-sesc-verao-2026,acao-integrada-seguranca-sesc-verao-2026,Ação integrada de segurança no Sesc Verão 2026,gestao/administracao,Rio das Ostras,1,1,1.0,1.0,0,0,0,1,0,0,1,0,1.0,0.0,1.0,0.0,1,0,0,0.0,1,0,Reunião define ação integrada entre forças de segurança no Sesc Verão - PMRO - Rio das Ostras
acao-ordenamento-urbano-centro-rio-2019,acao-ordenamento-urbano-centro-rio-2019,Ação de ordenamento urbano no Centro do Rio em parceria com o Segurança Presente,gestao/administracao,Centro do Rio de Janeiro,1,1,1.0,1.0,0,0,0,1,0,0,1,0,1.0,0.0,1.0,0.0,1,0,0,0.0,1,0,Prefeitura fará ações de ordenamento urbano no Centro
acidente-carro-caua-reymond-barra-2022,acidente-carro-caua-reymond-barra-2022,Acidente de carro envolvendo Cauã Reymond na Barra da Tijuca,operacao policial,"Barra da Tijuca, Rio de Janeiro",1,1,1.0,1.0,0,0,0,1,0,0,1,0,1.0,0.0,1.0,0.0,1,0,0,0.0,1,0,Carro de Cauã Reymond se envolve em acidente na Barra
acoes-seguranca-eleicoes-municipais-2024,acoes-seguranca-eleicoes-municipais-2024,Ações de segurança durante as eleições municipais no Rio de Janeiro,operacao policial,Rio de Janeiro,1,1,1.0,1.0,0,0,0,1,0,0,1,0,1.0,0.0,1.0,0.0,1,0,0,0.0,1,0,"Esquema de segurança garante tranquilidade nas eleições municipais, afirma Governo do Estado"
acoes-seguranca-show-lady-gaga-copacabana-2025,acoes-seguranca-show-lady-gaga-copacabana-2025,Ações de segurança durante o show de Lady Gaga em Copacabana,operacao policial,"Copacabana, Rio de Janeiro",1,1,1.0,1.0,0,0,0,1,0,0,1,0,1.0,0.0,1.0,0.0,1,0,0,0.0,1,0,Lady Gaga: PM conduz 47 pessoas à delegacia e apreende 251 objetos cortantes
ampliacao-gratificacao-policiais-reserva-peop-2026,ampliacao-gratificacao-policiais-reserva-peop-2026,Ampliação da gratificação para policiais da reserva no Programa de Estímulo Operacional (PEOp),gestao/administracao,Rio de Janeiro,1,1,1.0,1.0,0,0,0,1,0,0,1,0,1.0,0.0,1.0,0.0,1,0,0,0.0,1,0,Castro amplia gratificação paga a policiais da reserva; veja os valores
ampliacao-horario-programa-leblon-presente-2020,ampliacao-horario-programa-leblon-presente-2020,Ampliação do horário do Programa Leblon Presente,inauguracao/expansao,"Leblon, Rio de Janeiro",1,1,1.0,1.0,0,0,0,1,0,0,1,0,1.0,0.0,1.0,0.0,1,0,0,0.0,1,0,Programa Leblon Presente terá horário ampliado
ampliacao-operacao-copacabana-presente-2021,ampliacao-operacao-copacabana-presente-2021,Ampliação da Operação Copacabana Presente,inauguracao/expansao,"Copacabana, Rio de Janeiro",1,1,1.0,1.0,0,0,0,1,0,0,1,0,1.0,0.0,1.0,0.0,1,0,0,0.0,1,0,RJ discute soluções de segurança e protocolos para turismo consciente
ampliacao-operacao-niteroi-presente-regiao-oceanica-2020,ampliacao-operacao-niteroi-presente-regiao-oceanica-2020,Ampliação da Operação Niterói Presente para a Região Oceânica,inauguracao/expansao,Niterói,1,1,1.0,1.0,0,0,0,1,0,0,1,0,1.0,0.0,1.0,0.0,1,0,0,0.0,1,0,Operação Niterói Presente será ampliada para a Região Oceânica
ampliacao-operacao-seguranca-presente-barra-tijuca-2022,ampliacao-operacao-seguranca-presente-barra-tijuca-2022,Ampliação da Operação Segurança Presente na Barra da Tijuca,inauguracao/expansao,"Barra da Tijuca, Rio de Janeiro",1,1,1.0,1.0,0,0,0,1,0,0,1,0,1.0,0.0,1.0,0.0,1,0,0,0.0,1,0,Operação Segurança Presente na Barra é ampliada
